Title,URL,Volume Issue,Vol Issue Year
AI art in the gig economy: Investigating the effects of non-copyrightability in online labor markets,https://www.sciencedirect.com/science/article/pii/S0167923625001460,Volume 199,Dec-25
Prompting large language models based on semantic schema for text-to-Cypher transformation towards domain Q&A,https://www.sciencedirect.com/science/article/pii/S016792362500154X,Volume 199,Dec-25
An integrated GenAI-driven method for automating ideation with user-generated content,https://www.sciencedirect.com/science/article/pii/S0167923625001551,Volume 199,Dec-25
Beyond assumptions: A reference architecture to enable unsupervised process discovery from video data,https://www.sciencedirect.com/science/article/pii/S0167923625001459,Volume 199,Dec-25
Follow the vine to get the melon: A deep framework for blockchain phishing fraud detection,https://www.sciencedirect.com/science/article/pii/S0167923625001563,Volume 199,Dec-25
Enhancing decision support for bystander interventions: The role of victim emotional disclosure and collective signals in social media incivility,https://www.sciencedirect.com/science/article/pii/S0167923625001575,Volume 199,Dec-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625001514,Volume 198,Nov-25
A cross-platform rumor detection framework considering data privacy protection and different detection capabilities of online social platforms,https://www.sciencedirect.com/science/article/pii/S0167923625001253,Volume 198,Nov-25
Decision support for integrated trade agent's procurement and sales planning under uncertainty,https://www.sciencedirect.com/science/article/pii/S0167923625001381,Volume 198,Nov-25
Modeling hybrid firm relationships with graph neural networks for stock investment decisions,https://www.sciencedirect.com/science/article/pii/S0167923625001290,Volume 198,Nov-25
Enhancing cybersecurity risk assessment using temporal knowledge graph-based explainable decision support system,https://www.sciencedirect.com/science/article/pii/S0167923625001277,Volume 198,Nov-25
Human-Robo-advisor collaboration in decision-making: Evidence from a multiphase mixed methods experimental study,https://www.sciencedirect.com/science/article/pii/S0167923625001423,Volume 198,Nov-25
Social capital matters: Towards comprehensive user preference for product recommendation with deep learning,https://www.sciencedirect.com/science/article/pii/S0167923625001289,Volume 198,Nov-25
Corporate credit scoring method based on unlabeled data and multi-source data,https://www.sciencedirect.com/science/article/pii/S0167923625001447,Volume 198,Nov-25
Being responsible or affable: Investigating the effects of AI error correction behaviors on user engagement,https://www.sciencedirect.com/science/article/pii/S0167923625001435,Volume 198,Nov-25
A field study on the impact of the counter ad-blocking wall strategy on user engagement,https://www.sciencedirect.com/science/article/pii/S0167923625001265,Volume 198,Nov-25
Emotion aware session based news recommender systems,https://www.sciencedirect.com/science/article/pii/S0167923625001411,Volume 198,Nov-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625001344,Volume 197,Oct-25
Sparse-enhanced additive interaction neural network for interpretable credit decision,https://www.sciencedirect.com/science/article/pii/S0167923625001083,Volume 197,Oct-25
How does AI-assisted diagnosis decision support systems influence doctors' coping styles and work outcomes? Bright and dark sides of AI in the workplace,https://www.sciencedirect.com/science/article/pii/S0167923625001137,Volume 197,Oct-25
Boosting the underdogs: Unraveling how prevailing streamer visits drive revenue for emerging streamers on livestreaming entertainment platforms,https://www.sciencedirect.com/science/article/pii/S0167923625001125,Volume 197,Oct-25
Blockchain-based token system for incentivizing peer review: A design science approach,https://www.sciencedirect.com/science/article/pii/S0167923625001150,Volume 197,Oct-25
Exploring users' post-adoption use of generative AI: An attitudinal ambivalence perspective,https://www.sciencedirect.com/science/article/pii/S0167923625001228,Volume 197,Oct-25
From fake to AI-generated: Leveraging information manipulation theory and explainable AI for robust detection of manipulated reviews,https://www.sciencedirect.com/science/article/pii/S016792362500123X,Volume 197,Oct-25
A friend or a foe? The effect of generative artificial intelligence on creator contributions on original work sharing platforms,https://www.sciencedirect.com/science/article/pii/S0167923625001149,Volume 197,Oct-25
Data disclosure strategy: Navigating the balance between privacy and profit in a dynamic system,https://www.sciencedirect.com/science/article/pii/S0167923625001113,Volume 197,Oct-25
How manipulating information affects information diffusion during disasters: The effects of modifying falsehoods versus corrections,https://www.sciencedirect.com/science/article/pii/S0167923625001241,Volume 197,Oct-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625001198,Volume 196,Sep-25
Investigating the impact of differential privacy obfuscation on users’ data disclosure decisions,https://www.sciencedirect.com/science/article/pii/S0167923625000752,Volume 196,Sep-25
An explainable lesion detection transformer model for medical imaging diagnosis decision support: Design science research,https://www.sciencedirect.com/science/article/pii/S0167923625000934,Volume 196,Sep-25
Handling imperfection: A taxonomy for machine learning on data with data quality defects,https://www.sciencedirect.com/science/article/pii/S0167923625000946,Volume 196,Sep-25
