Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"C Tian, ML Jensen, G Bott, X Luo","The influence of affective processing on phishing susceptibility",2024,"European Journal of Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0960085X.2024.2351442","https://scholar.google.com/scholar?cites=15367175195341749197&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-10-04 10:58:38","","10.1080/0960085X.2024.2351442","","",,,,,1,1.00,0,4,1,"… narrowly investigated in contexts involving deception. Therefore, the role of … In research examining deception aside from phishing, … We expect the same to hold for deception in phishing …","","https://scholar.google.com/scholar?q=related:zfuJ32ssQ9UJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
2,"TE Hu, H Dai, X Luo, C Guo, D Liu","The role of the espoused tight culture in value assessment of social media use",2023,"… Journal of Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0960085X.2023.2226882","https://scholar.google.com/scholar?cites=5523825870620140539&as_sdt=2005&sciodt=0,5&hl=en",14,"2024-10-04 10:58:38","","10.1080/0960085X.2023.2226882","","",,,,,2,2.00,0,5,1,"To advance the stream of culture-themed Information Systems (IS) research, this study ushers in the cultural tightness-looseness (CTL) theory and conceptualises the focal construct, the …","","https://scholar.google.com/scholar?q=related:-yNt41ySqEwJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
218,"R Naidoo","A multi-level influence model of COVID-19 themed cybercrime",2020,"European Journal of Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0960085X.2020.1771222","https://scholar.google.com/scholar?cites=15050781805404898819&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-10-04 10:58:38","","10.1080/0960085X.2020.1771222","","",,,,,218,54.50,218,1,4,"The recent severity and frequency of cybercrime has been dominated by a single theme – the COVID-19 pandemic. This research develops a multi-level influence model to explore how …","","https://scholar.google.com/scholar?q=related:A0YSP08e39AJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
88,"H Wenninger, H Krasnova…","Understanding the role of social networking sites in the subjective well-being of users: a diary study",2019,"… of Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0960085X.2018.1496883","https://scholar.google.com/scholar?cites=4762961439894882549&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-10-04 10:58:38","","10.1080/0960085X.2018.1496883","","",,,,,88,17.60,29,3,5,"Given the rising popularity of social networking sites (SNSs), the influence of these platforms on the subjective well-being (SWB) of their users is an emerging topic in information …","https://www.academia.edu/download/110238533/0960085x.2018.149688320240109-1-amk8sf.pdf","https://scholar.google.com/scholar?q=related:9UjRvzFwGUIJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
11,"G Cascavilla, M Conti, DG Schwartz…","The insider on the outside: a novel system for the detection of information leakers in social networks",2018,"… of Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0960085X.2017.1387712","https://scholar.google.com/scholar?cites=15033973210248680026&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-10-04 10:58:38","","10.1080/0960085X.2017.1387712","","",,,,,11,1.83,3,4,6,"Confidential information is all too easily leaked by naive users posting comments. In this paper we introduce DUIL, a system for Detecting Unintentional Information Leakers. The value …","https://drive.google.com/file/d/1Isg3Jt-Z45prpZ0J5AnJo8pQt2tDl2iM/view","https://scholar.google.com/scholar?q=related:WpKcN_tmo9AJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
132,"A Algarni, Y Xu, T Chan","An empirical study on the susceptibility to social engineering in social networking sites: the case of Facebook",2017,"European Journal of Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1057/s41303-017-0057-y","https://scholar.google.com/scholar?cites=761087049426635162&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-10-04 10:58:38","","10.1057/s41303-017-0057-y","","",,,,,132,18.86,44,3,7,"… Due to the vital role that impersonation plays in influencing users to fall victim to social engineering deception, this paper aims to investigate the impact of source characteristics on users…","https://link.springer.com/content/pdf/10.1057/s41303-017-0057-y.pdf","https://scholar.google.com/scholar?q=related:mok5mKPsjwoJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
10,"NA Johnson, RB Cooper…","The impact of media on how positive, negative, and neutral communicated affect influence unilateral concessions during negotiations",2016,"… of Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1057/ejis.2016.4","https://scholar.google.com/scholar?cites=8601409534206479895&as_sdt=2005&sciodt=0,5&hl=en",11,"2024-10-04 10:58:38","","10.1057/ejis.2016.4","","",,,,,10,1.25,3,3,8,"In the online environment, audio and instant messaging (IM) media are quite commonly used by people to communicate with each other and make offers as they negotiate. While we …","https://scholar.google.com/scholar?output=instlink&q=info:Fw4JLmZYXncJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=8805282229299940383&oi=lle","https://scholar.google.com/scholar?q=related:Fw4JLmZYXncJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
145,"DJ Kim, MS Yim, V Sugumaran…","Web assurance seal services, trust and consumers' concerns: An investigation of e-commerce transaction intentions across two nations",2016,"… of Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1057/ejis.2015.16","https://scholar.google.com/scholar?cites=9964768276237319033&as_sdt=2005&sciodt=0,5&hl=en",12,"2024-10-04 10:58:38","","10.1057/ejis.2015.16","","",,,,,145,18.13,36,4,8,"Trust is considered as a critical enabler in reducing consumer concerns regarding e-commerce transactions. Another enabler that helps reduce consumers’ concerns is Web Assurance …","https://drive.google.com/file/d/1DLa1xXUV8_dJQX0wl5okrhgMx_1eK9Rw/view","https://scholar.google.com/scholar?q=related:efs0nvP3SYoJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
55,"S Altschuller, R Benbunan-Fich","The pursuit of trust in ad hoc virtual teams: how much electronic portrayal is too much?",2013,"European Journal of Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1057/ejis.2012.39","https://scholar.google.com/scholar?cites=16815481610594407205&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-10-04 10:58:38","","10.1057/ejis.2012.39","","",,,,,55,5.00,28,2,11,"… This study develops and tests the concept of electronic portrayal in synchronous computer-mediated communication of ad hoc virtual teams. Electronic portrayal is the extent to which …","https://scholar.google.com/scholar?output=instlink&q=info:JdOXvm6XXOkJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=11904723901576983681&oi=lle","https://scholar.google.com/scholar?q=related:JdOXvm6XXOkJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
620,"T Dinev, H Xu, JH Smith, P Hart","Information privacy and correlates: an empirical attempt to bridge and distinguish privacy-related concepts",2013,"European Journal of Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1057/ejis.2012.23","https://scholar.google.com/scholar?cites=2969998372980697524&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-10-04 10:58:38","","10.1057/ejis.2012.23","","",,,,,620,56.36,155,4,11,"… Many overlapping concepts, such as intrusion, deception, secrecy, anonymity, have been built into the definition of privacy and have added to the confusion (CitationMargulis, 2003a, …","https://faculty.ist.psu.edu/xu/papers/ejis2013.pdf","https://scholar.google.com/scholar?q=related:tKkA1ciNNykJ:scholar.google.com/&scioq=source:%22european+journal+of+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
