Title,Year,Issue,ArticleURL,Abstract,Author_Name,Author_University
Legal Compliance and the Open Texture of Law,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/10,No Abstract,Arto Lanamäki,University of Oulu
Legal Compliance and the Open Texture of Law,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/10,No Abstract,Mika Viljanen,University of Turku
Legal Compliance and the Open Texture of Law,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/10,No Abstract,Karin Väyrynen,University of Oulu
Legal Compliance and the Open Texture of Law,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/10,No Abstract,Lyria Bennett Moses,UNSW Sydney
"Ecological Validity in NeuroIS Research: Theory, Evidence, and a Roadmap for Future Studies",2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/9,No Abstract,Ali Balapour,Northern Kentucky University
"Ecological Validity in NeuroIS Research: Theory, Evidence, and a Roadmap for Future Studies",2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/9,No Abstract,René Riedl,University of Applied Sciences Upper Austria / Johannes Kepler University Linz
Digital Infrastructure Development Through Digital Infrastructuring Work: An Institutional Work Perspective,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/8,No Abstract,Adrian Yeow,Singapore University of Social Sciences
Digital Infrastructure Development Through Digital Infrastructuring Work: An Institutional Work Perspective,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/8,No Abstract,Wee-Kiat Lim,Singapore Management University
Digital Infrastructure Development Through Digital Infrastructuring Work: An Institutional Work Perspective,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/8,No Abstract,Samer Faraj,McGill University
Making Sense of Discursive Formations and Program Shifts in Large-Scale Digital Infrastructures,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/7,No Abstract,Egil Øvrelid,University of Oslo
Making Sense of Discursive Formations and Program Shifts in Large-Scale Digital Infrastructures,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/7,No Abstract,Bendik Bygstad,University of Oslo
Making Sense of Discursive Formations and Program Shifts in Large-Scale Digital Infrastructures,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/7,No Abstract,Ole Hanseth,University of Oslo
Uncovering the Structural Assurance Mechanisms in Blockchain Technology-Enabled Online Healthcare Mutual Aid Platforms,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/6,No Abstract,Zhen Shao,Harbin Institute of Technology
Uncovering the Structural Assurance Mechanisms in Blockchain Technology-Enabled Online Healthcare Mutual Aid Platforms,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/6,No Abstract,Lin Zhang,Northwestern Polytechnical University
Uncovering the Structural Assurance Mechanisms in Blockchain Technology-Enabled Online Healthcare Mutual Aid Platforms,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/6,No Abstract,Susan A. Brown,University of Arizona
Uncovering the Structural Assurance Mechanisms in Blockchain Technology-Enabled Online Healthcare Mutual Aid Platforms,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/6,No Abstract,Jose Benitez,Kent State University
Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/5,No Abstract,Qian Wang,University of Macau
Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/5,No Abstract,Dan Pienta,"University of Tennessee, Knoxville"
Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/5,No Abstract,Shenyang Jiang,Tongji University
Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/5,No Abstract,Eric W. T. Ngai,The Hong Kong Polytechnic University
Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/5,No Abstract,Jason Bennett Thatcher,University of Colorado Boulder / University of Manchester
Shadows and Screens: Exploring the Impact of Astroturfing as a Facet of Fake Reviews in the Movie Industry’s Social Media Dynamics,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/4,No Abstract,Xueyan Yin,City University of Hong Kong
Shadows and Screens: Exploring the Impact of Astroturfing as a Facet of Fake Reviews in the Movie Industry’s Social Media Dynamics,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/4,No Abstract,Ying Liu,University of Massachusetts Amherst
Shadows and Screens: Exploring the Impact of Astroturfing as a Facet of Fake Reviews in the Movie Industry’s Social Media Dynamics,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/4,No Abstract,Pei-yu Chen,Arizona State University
Shadows and Screens: Exploring the Impact of Astroturfing as a Facet of Fake Reviews in the Movie Industry’s Social Media Dynamics,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/4,No Abstract,Zhan Shi,Arizona State University
Mobile App Startups and New Entry Threats: The Role of Performance Signals,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/3,No Abstract,Franck Soh,Texas Christian University
Mobile App Startups and New Entry Threats: The Role of Performance Signals,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/3,No Abstract,Varun Grover,University of Arkansas
From Detractors to Enhancers: Harnessing the Power of Ad Customization for User Engagement on Media Websites,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/2,No Abstract,Martin Adam,University of Goettingen
From Detractors to Enhancers: Harnessing the Power of Ad Customization for User Engagement on Media Websites,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/2,No Abstract,Dominick Kosin,McKinsey & Company
From Detractors to Enhancers: Harnessing the Power of Ad Customization for User Engagement on Media Websites,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/2,No Abstract,Alexander Benlian,Technical University of Darmstadt
Experience Curves in Reward-Based Crowdfunding: An Empirical Study of Serial Creators,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/1,No Abstract,Nianxin Wang,Jiangsu University of Science and Technology
Experience Curves in Reward-Based Crowdfunding: An Empirical Study of Serial Creators,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/1,No Abstract,Qingxiang Li,Jiangsu University of Science and Technology
Experience Curves in Reward-Based Crowdfunding: An Empirical Study of Serial Creators,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/1,No Abstract,Huigang Liang,University of Memphis
Experience Curves in Reward-Based Crowdfunding: An Empirical Study of Serial Creators,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/1,No Abstract,Hao Hu,Wuxi University
Experience Curves in Reward-Based Crowdfunding: An Empirical Study of Serial Creators,2025,Issue 1,https://aisel.aisnet.org/jais/vol26/iss1/1,No Abstract,Yi Wang,Southwestern University of Finance and Economics
Policy for Sociotechnical Gen AI Assessment: Leveraging End Users,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/10,No Abstract,Ju Yeon Jung,Notre Dame-IBM Technology Ethics Lab
Policy for Sociotechnical Gen AI Assessment: Leveraging End Users,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/10,No Abstract,Susan J. Winter,University of Maryland
Judging a Book by Its Cover: Understanding the Phenomenon of Fake News Propagation from an Evolutionary Psychology Perspective,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/9,No Abstract,Ashish Kumar Jha,Trinity College Dublin
Judging a Book by Its Cover: Understanding the Phenomenon of Fake News Propagation from an Evolutionary Psychology Perspective,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/9,No Abstract,Rohit Nishant,Queen’s University Belfast
Umpires of Social Media: A Systems Science Analysis of Facebook’s Sociotechnical Content Moderation,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/8,No Abstract,Anna Zaitsev,University of Tampa
Structural Holes and Peer Knowledge Production in Professional Q&A Communities: A Middle-Range Theory of User Engagement,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/7,No Abstract,Langtao Chen,The University of Tulsa
Structural Holes and Peer Knowledge Production in Professional Q&A Communities: A Middle-Range Theory of User Engagement,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/7,No Abstract,Aaron Baird,Georgia State University
Structural Holes and Peer Knowledge Production in Professional Q&A Communities: A Middle-Range Theory of User Engagement,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/7,No Abstract,Detmar Straub,Temple University
Technocognitive Structuration: Modeling the Role of Cognitive Structures in Technology Adaptation,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/6,No Abstract,Rob Gleasure,Copenhagen Business School
Technocognitive Structuration: Modeling the Role of Cognitive Structures in Technology Adaptation,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/6,No Abstract,Kieran Conboy,University of Galway
Technocognitive Structuration: Modeling the Role of Cognitive Structures in Technology Adaptation,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/6,No Abstract,Qiqi Jiang,Copenhagen Business School
When Everyone Is Visible No One Is: Qualifications Visibility and Labor Matching Technologies in Labor Search,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/5,No Abstract,Robert G. Fichman,Boston College
How to Develop IT Ambidexterity: Insights from the Perspective of CIO-TMT Mutual Communication,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/4,No Abstract,Nianxin Wang,Jiangsu University of Science and Technology
How to Develop IT Ambidexterity: Insights from the Perspective of CIO-TMT Mutual Communication,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/4,No Abstract,Hao Hu,Wuxi University
How to Develop IT Ambidexterity: Insights from the Perspective of CIO-TMT Mutual Communication,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/4,No Abstract,Huigang Liang,University of Memphis
How to Develop IT Ambidexterity: Insights from the Perspective of CIO-TMT Mutual Communication,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/4,No Abstract,Yajiong Xue,East Carolina University
The Trade-Offs in Promoting Equity-Focused Initiatives in Crowdfunding,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/3,No Abstract,Lauren Rhue,University of Maryland
Falling from Grace: Understanding Successful Crowdfunding Experiences in Serial Entrepreneurship,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/2,No Abstract,Lusi Yang,Georgia State University
Falling from Grace: Understanding Successful Crowdfunding Experiences in Serial Entrepreneurship,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/2,No Abstract,David W. Lehman,University of Virginia
Falling from Grace: Understanding Successful Crowdfunding Experiences in Serial Entrepreneurship,2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/2,No Abstract,Zhiyi Wang,University of Colorado Boulder
"Sunk Cost Fallacy, Price Adjustment, and Subscription Services for Information Goods",2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/1,No Abstract,Mingyue Zhang,Shanghai International Studies University
"Sunk Cost Fallacy, Price Adjustment, and Subscription Services for Information Goods",2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/1,No Abstract,Jesse Bockstedt,Emory University
"Sunk Cost Fallacy, Price Adjustment, and Subscription Services for Information Goods",2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/1,No Abstract,Tingting Song,Shanghai Jiao Tong University
"Sunk Cost Fallacy, Price Adjustment, and Subscription Services for Information Goods",2025,Issue 2,https://aisel.aisnet.org/jais/vol26/iss2/1,No Abstract,Xuan Wei,Shanghai Jiao Tong University
Health Analytics and IS Theorizing,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/10,No Abstract,Aaron Baird,Georgia State University
Health Analytics and IS Theorizing,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/10,No Abstract,Yusen Xia,Georgia State University
Health Analytics and IS Theorizing,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/10,No Abstract,Rajiv Kohli,William and Mary
An Organizational Routines Theory of Employee Well-Being: Explaining the Love-Hate Relationship Between Electronic Health Records and Clinicians,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/9,No Abstract,Ankita Srivastava,Bentley University
An Organizational Routines Theory of Employee Well-Being: Explaining the Love-Hate Relationship Between Electronic Health Records and Clinicians,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/9,No Abstract,Surya Ayyalasomayajula,Arizona State University
An Organizational Routines Theory of Employee Well-Being: Explaining the Love-Hate Relationship Between Electronic Health Records and Clinicians,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/9,No Abstract,Chenzhang Bao,Oklahoma State University
An Organizational Routines Theory of Employee Well-Being: Explaining the Love-Hate Relationship Between Electronic Health Records and Clinicians,2025,Issue 3,https://aisel.aisnet.org/jais/vol26/iss3/9,No Abstract,Sezgin Ayabakan,Temple University
