title,url
Volume 41 Number 3 2024,https://www.jmis-web.org/issues/164
Volume 41 Number 2 2024,https://www.jmis-web.org/issues/163
Volume 41 Number 1 2024,https://www.jmis-web.org/issues/162
Volume 40 Number 4 2023,https://www.jmis-web.org/issues/161
Volume 40 Number 3 2023,https://www.jmis-web.org/issues/160
Volume 40 Number 2 2023,https://www.jmis-web.org/issues/159
Volume 40 Number 1 2023,https://www.jmis-web.org/issues/158
Volume 39 Number 4 2022,https://www.jmis-web.org/issues/157
Volume 39 Number 3 2022,https://www.jmis-web.org/issues/156
Volume 39 Number 2 2022,https://www.jmis-web.org/issues/155
Volume 39 Number 1 2022,https://www.jmis-web.org/issues/154
Volume 38 Number 4 2021,https://www.jmis-web.org/issues/153
Volume 38 Number 3 2021,https://www.jmis-web.org/issues/152
Volume 38 Number 2 2021,https://www.jmis-web.org/issues/151
Volume 38 Number 1 2021,https://www.jmis-web.org/issues/150
Volume 37 Number 4 2020,https://www.jmis-web.org/issues/149
Volume 37 Number 3 2020,https://www.jmis-web.org/issues/148
Volume 37 Number 2 2020,https://www.jmis-web.org/issues/147
Volume 37 Number 1 2020,https://www.jmis-web.org/issues/146
Volume 36 Number 4 2019,https://www.jmis-web.org/issues/145
Volume 36 Number 3 2019,https://www.jmis-web.org/issues/144
Volume 36 Number 2 2019,https://www.jmis-web.org/issues/143
Volume 36 Number 1 2019,https://www.jmis-web.org/issues/142
Volume 35 Number 4 2018,https://www.jmis-web.org/issues/141
Volume 35 Number 3 2018,https://www.jmis-web.org/issues/140
Volume 35 Number 2 2018,https://www.jmis-web.org/issues/139
Volume 35 Number 1 2018,https://www.jmis-web.org/issues/138
Volume 34 Number 4 2017,https://www.jmis-web.org/issues/137
Volume 34 Number 3 2017,https://www.jmis-web.org/issues/136
Volume 34 Number 2 2017,https://www.jmis-web.org/issues/135
Volume 34 Number 1 2017,https://www.jmis-web.org/issues/134
Volume 33 Number 4 2016,https://www.jmis-web.org/issues/133
Volume 33 Number 3 2016,https://www.jmis-web.org/issues/132
Volume 33 Number 2 2016,https://www.jmis-web.org/issues/131
Volume 33 Number 1 2016,https://www.jmis-web.org/issues/130
Volume 32 Number 4 2015,https://www.jmis-web.org/issues/129
Volume 32 Number 3 2015,https://www.jmis-web.org/issues/128
Volume 32 Number 2 2015,https://www.jmis-web.org/issues/127
Volume 32 Number 1 2015,https://www.jmis-web.org/issues/126
