Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"N Roberts, H Qahri-Saremi","Tragedy, truth, and technology: the 3t theory of social media-driven misinformation",2023,"… the Association for Information Systems","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol24/iss5/3/","https://scholar.google.com/scholar?cites=8750690780200864627&as_sdt=2005&sciodt=0,5&hl=en",21,"2024-10-08 13:53:15","","","","",,,,,6,6.00,3,2,1,"… His research addresses users’ behaviors on digital platforms, including social media, user-generated content, and computer-mediated communication. His works have repeatedly …","https://www.researchgate.net/profile/Nick-Roberts-13/publication/370688865_Tragedy_Truth_and_Technology_The_3T_Theory_of_Social_Media-Driven_Misinformation/links/645db2bb434e26474fdf8de9/Tragedy-Truth-and-Technology-The-3T-Theory-of-Social-Media-Driven-Misinformation.pdf","https://scholar.google.com/scholar?q=related:c4soxeaycHkJ:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
47,"N Wang, H Liang, Y Xue, S Ge","Mitigating information asymmetry to achieve crowdfunding success: signaling and online communication",2021,"… Association for Information Systems","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol22/iss3/4/","https://scholar.google.com/scholar?cites=8407503355160039784&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-10-08 13:53:15","","","","",,,,,47,15.67,12,4,3,"… Following computermediated communication (CMC) research, we also consider online backer-creator communication as a means of complementing or substituting for the effects of …","https://search.proquest.com/openview/597ba6c9b485bd5a27f8f2bf09bd894f/1?pq-origsite=gscholar&cbl=26427","https://scholar.google.com/scholar?q=related:aBE4tMFzrXQJ:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
138,"AM Seeger, J Pfeiffer, A Heinzl","Texting with humanlike conversational agents: Designing for anthropomorphism",2021,"… Association for Information systems","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol22/iss4/8/","https://scholar.google.com/scholar?cites=9106590386032873160&as_sdt=2005&sciodt=0,5&hl=en",13,"2024-10-08 13:53:15","","","","",,,,,138,46.00,46,3,3,"… For example, emoticons are nonverbal signs that convey emotional expressions in text-based computer-mediated communication (Derks et al., 2008; Walther &D’Addario, 2001). Extant …","https://www.vwl.uni-mannheim.de/media/Lehrstuehle/bwl/Heinzl/Publikationen/Preprint_-_Texting_with_Human-like_Conversational_Agents_including_Appendix.pdf","https://scholar.google.com/scholar?q=related:yA56ErUbYX4J:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
94,"M Seymour, LI Yuan, A Dennis…","Have we crossed the uncanny valley? Understanding affinity, trustworthiness, and preference for realistic digital humans in immersive environments",2021,"Journal of the Association …","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol22/iss3/9/","https://scholar.google.com/scholar?cites=124422246927684971&as_sdt=2005&sciodt=0,5&hl=en",14,"2024-10-08 13:53:15","","","","",,,,,94,31.33,24,4,3,"… We conclude that at lower levels of realism, this lack of perfect reproduction prevented a sense of deception and thus presented no issues. However, once the avatar becomes highly …","https://search.proquest.com/openview/dbd0d990406068e9e8e0a1927e12c891/1?pq-origsite=gscholar&cbl=26427","https://scholar.google.com/scholar?q=related:a9VH1l8JugEJ:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
7,"JF Zheng, S Jarvenpaa","Thinking technology as human: affordances, technology features, and egocentric biases in technology anthropomorphism",2021,"… of the Association for Information Systems","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol22/iss5/3/","https://scholar.google.com/scholar?cites=8211387261984638608&as_sdt=2005&sciodt=0,5&hl=en",24,"2024-10-08 13:53:15","","","","",,,,,7,2.33,4,2,3,"Advanced information technologies (ITs) are increasingly assuming tasks that have previously required human capabilities, such as learning and judgment. What drives this technology …","https://www.researchgate.net/profile/Sirkka-Jarvenpaa/publication/359554736_Thinking_Technology_as_Human_Affordances_Technology_Features_and_Egocentric_Biases_in_Technology_Anthropomorphism/links/63ff43160cf1030a5660c406/Thinking-Technology-as-Human-Affordances-Technology-Features-and-Egocentric-Biases-in-Technology-Anthropomorphism.pdf","https://scholar.google.com/scholar?q=related:kAbDfzW19HEJ:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
97,"V Grover, A Lindberg, I Benbasat…","The perils and promises of big data research in information systems",2020,"Journal of the Association …","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol21/iss2/9/","https://scholar.google.com/scholar?cites=6626434149033060321&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-10-08 13:53:15","","","","",,,,,97,24.25,24,4,4,"With the proliferation of “big data” and powerful analytical techniques, information systems (IS) researchers are increasingly engaged in what we label as big data research (BDR)—…","https://www.academia.edu/download/79378083/2020-JAIS1.pdf","https://scholar.google.com/scholar?q=related:4SeiDMDS9VsJ:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
17,"J Lausen, B Clapham, M Siering…","Who is the next “wolf of wall street”? Detection of financial intermediary misconduct",2020,"Journal of the Association …","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol21/iss5/7/","https://scholar.google.com/scholar?cites=2800909827570690935&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-10-08 13:53:15","","","","",,,,,17,4.25,4,4,4,"… However, interpersonal deception theory does not fit our context because it builds on repeated communication exchanges between the sender and receiver (Buller &Burgoon, 1996) …","https://core.ac.uk/download/pdf/351022179.pdf","https://scholar.google.com/scholar?q=related:d2tA-KXU3iYJ:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
67,"D Ormond, M Warkentin, RE Crossler","Integrating cognition with an affective lens to better understand information security policy compliance",2019,"… Association for Information …","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol20/iss12/4/","https://scholar.google.com/scholar?cites=13776996269093631218&as_sdt=2005&sciodt=0,5&hl=en",20,"2024-10-08 13:53:15","","","","",,,,,67,13.40,22,3,5,"Abstract Information systems security behavioral research has primarily focused on individual cognitive processes and their impact on information security policy noncompliance. …","https://core.ac.uk/download/pdf/301386393.pdf","https://scholar.google.com/scholar?q=related:8jQ18xy5Mb8J:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
26,"A Harrison","The effects of media capabilities on the rationalization of online consumer fraud",2018,"Journal of the Association for Information Systems","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol19/iss5/1/","https://scholar.google.com/scholar?cites=13820902708301141714&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-10-08 13:53:15","","","","",,,,,26,4.33,26,1,6,"… media capabilities, and computer-mediated deception. This investigation empirically tests this … computer-mediated communication, so people are obligated to use lessreliable indicators (…","https://core.ac.uk/download/pdf/301375000.pdf","https://scholar.google.com/scholar?q=related:0haGc8m1zb8J:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
162,"JB Barlow, M Warkentin, D Ormond…","Don't even think about it! The effects of antineutralization, informational, and normative communication on information security compliance",2018,"… for Information Systems","aisel.aisnet.org","https://aisel.aisnet.org/jais/vol19/iss8/3/","https://scholar.google.com/scholar?cites=2970138568849034734&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-10-08 13:53:15","","","","",,,,,162,27.00,41,4,6,"Organizations use security education, training, and awareness (SETA) programs to counter internal security threats and promote compliance with information security policies. Yet, …","https://www.researchgate.net/profile/Alan-Dennis-3/publication/327587731_Don%27t_Even_Think_About_It_The_Effects_of_Antineutralization_Informational_and_Normative_Communication_on_Information_Security_Compliance/links/5daf1013299bf111d4bfbb88/Dont-Even-Think-About-It-The-Effects-of-Antineutralization-Informational-and-Normative-Communication-on-Information-Security-Compliance.pdf","https://scholar.google.com/scholar?q=related:7g3vuUoNOCkJ:scholar.google.com/&scioq=source:%22journal+of+the+association+for+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
