Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"H Ma, W Huang, AR Dennis","Unintended Consequences of Disclosing Recommendations by Artificial Intelligence versus Humans on True and Fake News Believability and Engagement",2024,"… of Management Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2024.2376381","",21,"2024-10-10 11:42:05","","10.1080/07421222.2024.2376381","","",,,,,0,0.00,0,3,1,"In an attempt to combat fake news, policymakers in many countries are considering mandating the disclosure of artificial intelligence (AI) recommendations of social media news articles…","https://scholar.google.com/scholar?output=instlink&q=info:omQ4AfVRS7gJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=17682268367459980514&oi=lle","https://scholar.google.com/scholar?q=related:omQ4AfVRS7gJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
0,"S Ullman, S Samtani, H Zhu, B Lazarine…","Enhancing Vulnerability Prioritization in Cloud Computing Using Multi-View Representation Learning",2024,"… Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2024.2376384","",47,"2024-10-10 11:42:05","","10.1080/07421222.2024.2376384","","",,,,,0,0.00,0,5,1,"Cybersecurity is a present and growing concern that needs to be addressed with both behavioral and design-oriented research. Public cloud providers such as Amazon Web Services …","https://scholar.google.com/scholar?output=instlink&q=info:1C6CPQp-Q6UJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=5941836555614287864&oi=lle","https://scholar.google.com/scholar?q=related:1C6CPQp-Q6UJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
9,"H Qahri-Saremi, O Turel","Situational contingencies in susceptibility of social media to phishing: a temptation and restraint model",2023,"… of Management Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2023.2196779","https://scholar.google.com/scholar?cites=16587246102383961756&as_sdt=2005&sciodt=0,5&hl=en",15,"2024-10-10 11:42:05","","10.1080/07421222.2023.2196779","","",,,,,9,9.00,5,2,1,"… His research addresses users’ behaviors on digital platforms including social media, user-generated content, and computer-mediated communication. Dr. Qahri-Saremi’s work has …","https://scholar.google.com/scholar?output=instlink&q=info:nCaUdnK8MeYJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=1201546315077225997&oi=lle","https://scholar.google.com/scholar?q=related:nCaUdnK8MeYJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
2,"A Harrison, A Mirsadikov, T Luu","Influence of media capabilities on trust in the sharing economy",2023,"… Management Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2023.2229118","https://scholar.google.com/scholar?cites=14491827206000836282&as_sdt=2005&sciodt=0,5&hl=en",33,"2024-10-10 11:42:05","","10.1080/07421222.2023.2229118","","",,,,,2,2.00,1,3,1,"… His research interests include computer mediated communication, deception detection, website credibility, information security, and privacy. Dr. Mirsadikov’s work has appeared in the …","https://scholar.google.com/scholar?output=instlink&q=info:un4FGBBQHckJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=6978896260786241707&oi=lle","https://scholar.google.com/scholar?q=related:un4FGBBQHckJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
29,"ML Jensen, RT Wright, A Durcikova…","Improving phishing reporting using security gamification",2022,"… Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2022.2096551","https://scholar.google.com/scholar?cites=12019653401663397800&as_sdt=2005&sciodt=0,5&hl=en",20,"2024-10-10 11:42:05","","10.1080/07421222.2022.2096551","","",,,,,29,14.50,7,4,2,"… Research on deception detection in other digital contexts (eg, human resource systems) … , human-computer interaction, and computer-mediated communication. Dr. Jensen studies how …","https://scholar.google.com/scholar?output=instlink&q=info:qF92ARZjzqYJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=16975777617569382904&oi=lle","https://scholar.google.com/scholar?q=related:qF92ARZjzqYJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
96,"S Chandra, A Shirish, SC Srivastava","To be or not to be… human? Theorizing the role of human-like competencies in conversational artificial intelligence agents",2022,"… of Management Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2022.2127441","https://scholar.google.com/scholar?cites=7310710200335732009&as_sdt=2005&sciodt=0,5&hl=en",37,"2024-10-10 11:42:05","","10.1080/07421222.2022.2127441","","",,,,,96,48.00,32,3,2,"… Future research can study means and modalities for fact-checking conversational AI so that vulnerable users are able to discern fact from deception [egCitation118]. We believe that this …","https://scholar.google.com/scholar?output=instlink&q=info:KQ3WgjHcdGUJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=15362502454644315225&oi=lle","https://scholar.google.com/scholar?q=related:KQ3WgjHcdGUJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
20,"AS Dennis, JB Barlow, AR Dennis","The power of introverts: Personality and intelligence in virtual teams",2022,"… of Management Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2021.2023408","https://scholar.google.com/scholar?cites=6309312904203646889&as_sdt=2005&sciodt=0,5&hl=en",39,"2024-10-10 11:42:05","","10.1080/07421222.2021.2023408","","",,,,,20,10.00,7,3,2,"… Teams have increasingly turned to computer-mediated communication (CMC) to work when team members cannot all be in the same physical space at the same time, leading to the …","https://www.researchgate.net/profile/Alan-Dennis-3/publication/359887626_The_Power_of_Introverts_Personality_and_Intelligence_in_Virtual_Teams/links/639214aee42faa7e75a8d543/The-Power-of-Introverts-Personality-and-Intelligence-in-Virtual-Teams.pdf","https://scholar.google.com/scholar?q=related:qbfYf6guj1cJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
7,"M Nasir, A Dag, S Simsek, A Ivanov…","Improving imbalanced machine learning with neighborhood-Informed synthetic sample placement",2022,"Journal of Management …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2022.2127453","https://scholar.google.com/scholar?cites=12808470039253775163&as_sdt=2005&sciodt=0,5&hl=en",50,"2024-10-10 11:42:05","","10.1080/07421222.2022.2127453","","",,,,,7,3.50,1,5,2,"ABSTRACT Machine learning is widely used in information systems design. Yet, training algorithms on imbalanced datasets may severely affect performance on unseen data. For …","https://scholar.google.com/scholar?output=instlink&q=info:O3P0daPTwLEJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=14692116902426822066&oi=lle","https://scholar.google.com/scholar?q=related:O3P0daPTwLEJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
49,"DH McKnight, P Liu, BT Pentland","Trust change in information technology products",2020,"… of Management Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2020.1831772","https://scholar.google.com/scholar?cites=4191555567270909190&as_sdt=2005&sciodt=0,5&hl=en",32,"2024-10-10 11:42:05","","10.1080/07421222.2020.1831772","","",,,,,49,12.25,16,3,4,"… Untangling a web of lies: Exploring automated detection of deception in computer-mediated communication. Journal of Management Information Systems, 33, 2 (2016), 511–541. …","https://www.academia.edu/download/113407709/07421222.2020.183177220240416-1-bgi5gq.pdf","https://scholar.google.com/scholar?q=related:BlV-o5RlKzoJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
228,"RM Schuetzler, GM Grimes…","The impact of chatbot conversational skill on engagement and perceived humanness",2020,"… Management Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2020.1790204","https://scholar.google.com/scholar?cites=16901047463567464649&as_sdt=2005&sciodt=0,5&hl=en",38,"2024-10-10 11:42:05","","10.1080/07421222.2020.1790204","","",,,,,228,57.00,76,3,4,"… His research focuses on behavioral information security, deception … deception and forensics-related technologies and has published 37 papers related to information security, …","https://scholar.google.com/scholar?output=instlink&q=info:yZj0XR-VjOoJ:scholar.google.com/&hl=en&as_sdt=0,5&as_vis=1&scillfp=6817197885254715498&oi=lle","https://scholar.google.com/scholar?q=related:yZj0XR-VjOoJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
87,"N Kumar, D Venugopal, L Qiu…","Detecting anomalous online reviewers: An unsupervised approach using mixture models",2019,"… of Management Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2019.1661089","https://scholar.google.com/scholar?cites=5677505488930331549&as_sdt=2005&sciodt=0,5&hl=en",42,"2024-10-10 11:42:05","","10.1080/07421222.2019.1661089","","",,,,,87,17.40,22,4,5,"… [Citation48] develop a multilevel regression model to detect deception in e-mails. Benjamin … model using linguistic features that detected deception in reviews. Banerjee and Chua […","https://www.researchgate.net/profile/Naveen-B-A/publication/336389121_Detecting_Anomalous_Online_Reviewers_An_Unsupervised_Approach_Using_Mixture_Models/links/65dae34ce7670d36abdca0a6/Detecting-Anomalous-Online-Reviewers-An-Unsupervised-Approach-Using-Mixture-Models.pdf","https://scholar.google.com/scholar?q=related:ndsFVimNyk4J:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
118,"Y Hu, A Xu, Y Hong, D Gal, V Sinha…","Generating business intelligence through social media analytics: Measuring brand personality with consumer-, employee-, and firm-generated content",2019,"Journal of Management …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2019.1628908","https://scholar.google.com/scholar?cites=6089733960496385905&as_sdt=2005&sciodt=0,5&hl=en",45,"2024-10-10 11:42:05","","10.1080/07421222.2019.1628908","","",,,,,118,23.60,20,6,5,"Social media platforms provide an enormous public repository of textual data from which valuable information can be extracted. We show that firms can extract business intelligence …","https://www.academia.edu/download/61231224/JMIS_Brand_Personality_201920191115-112044-zcfe2r.pdf","https://scholar.google.com/scholar?q=related:cQ8FtMUUg1QJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
193,"N Kumar, D Venugopal, L Qiu…","Detecting review manipulation on online platforms with hierarchical supervised learning",2018,"… of Management Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2018.1440758","https://scholar.google.com/scholar?cites=13741939100738625844&as_sdt=2005&sciodt=0,5&hl=en",26,"2024-10-10 11:42:05","","10.1080/07421222.2018.1440758","","",,,,,193,32.17,48,4,6,"… Untangling a web of lies: Exploring automated detection of deception in computer-mediated communication. Journal of Management Information Systems, 33, 2 (2016), 511–541. doi:…","https://www.jstor.org/stable/pdf/26613931.pdf","https://scholar.google.com/scholar?q=related:NKGT4M0stb4J:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
230,"W Dong, S Liao, Z Zhang","Leveraging financial social media data for corporate fraud detection",2018,"… of Management Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2018.1451954","https://scholar.google.com/scholar?cites=14950412955839532482&as_sdt=2005&sciodt=0,5&hl=en",28,"2024-10-10 11:42:05","","10.1080/07421222.2018.1451954","","",,,,,230,38.33,77,3,6,"… Pak and Zhou [Citation51] provided new evidence that deception is a strategic activity … can be used to delineate deception in computer-mediated communication. Numbers of messages, …","https://www.jstor.org/stable/pdf/26613938.pdf","https://scholar.google.com/scholar?q=related:wo02Zl-Jes8J:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
283,"ML Jensen, M Dinger, RT Wright…","Training to mitigate phishing attacks using mindfulness techniques",2017,"Journal of Management …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2017.1334499","https://scholar.google.com/scholar?cites=7971313368083179199&as_sdt=2005&sciodt=0,5&hl=en",30,"2024-10-10 11:42:05","","10.1080/07421222.2017.1334499","","",,,,,283,40.43,71,4,7,"… deception in general, individuals are often suspicious of deceptive messages, but are hesitant to label the messages as deception … , and computer-mediated communication. He studies …","https://www.jstor.org/stable/pdf/26613889.pdf","https://scholar.google.com/scholar?q=related:v6brQUbLn24J:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
122,"PB Lowry, GD Moody, S Chatterjee","Using IT design to prevent cyberbullying",2017,"… of management information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2017.1373012","https://scholar.google.com/scholar?cites=3183989483408350796&as_sdt=2005&sciodt=0,5&hl=en",43,"2024-10-10 11:42:05","","10.1080/07421222.2017.1373012","","",,,,,122,17.43,41,3,7,"The rise of social media has fostered increasing instances of deviant behavior. Arguably, the most notable of these is cyberbullying (CB), which is an increasing global concern because …","https://www.jstor.org/stable/pdf/26613902.pdf","https://scholar.google.com/scholar?q=related:TF4iz5DNLywJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
76,"X Xu, JYL Thong, KY Tam","Winning back technology disadopters: testing a technology readoption model in the context of mobile internet services",2017,"… of Management Information Systems","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2017.1297172","https://scholar.google.com/scholar?cites=18092326659495654437&as_sdt=2005&sciodt=0,5&hl=en",46,"2024-10-10 11:42:05","","10.1080/07421222.2017.1297172","","",,,,,76,10.86,25,3,7,"We investigate how information and communication technology (ICT) service providers can win back disadopters of an earlier generation of technology when a new technology …","https://www.jstor.org/stable/pdf/26613870.pdf","https://scholar.google.com/scholar?q=related:JXSRUz3bFPsJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
62,"S Ludwig, T Van Laer, K De Ruyter…","Untangling a web of lies: Exploring automated detection of deception in computer-mediated communication",2016,"Journal of Management …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2016.1205927","https://scholar.google.com/scholar?cites=1936141079298597174&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-10-10 11:42:05","","10.1080/07421222.2016.1205927","","",,,,,62,7.75,16,4,8,"… and severe deception in computer-mediated communication (… New insights into linguistic cues of deception derive from the … level) to detect severe deception by business partners. We …","https://www.tandfonline.com/doi/pdf/10.1080/07421222.2016.1205927","https://scholar.google.com/scholar?q=related:NmGisg2O3hoJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
98,"SM Ho, JT Hancock, C Booth, X Liu","Computer-mediated deception: Strategies revealed by language-action cues in spontaneous communication",2016,"… of Management Information …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07421222.2016.1205924","https://scholar.google.com/scholar?cites=2796427472275711588&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-10-10 11:42:05","","10.1080/07421222.2016.1205924","","",,,,,98,12.25,25,4,8,"… methods for predicting deception in computer-mediated communication. Journal of … An exploratory study into deception detection in text-based computer-mediated communication. In …","https://www.jstor.org/stable/pdf/26614044.pdf","https://scholar.google.com/scholar?q=related:ZCYjTfjnziYJ:scholar.google.com/&scioq=source:%22journal+of+management+information+systems%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
