Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
77,"JF George, M Gupta, G Giordano, AM Mills…","The effects of communication media and culture on deception detection accuracy",2018,"MIS quarterly","JSTOR","https://www.jstor.org/stable/26630245","https://scholar.google.com/scholar?cites=12210650069303933279&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-10-08 11:34:56","","","","",,,,,77,12.83,15,5,6,"… , culture, and deception detection. Its purpose is to investigate the role played by common computer-mediated communication media in the detection of deception by people from one …","https://www.jstor.org/stable/pdf/26630245.pdf","https://scholar.google.com/scholar?q=related:X7l1EYvxdKkJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
88,"V Mindel, L Mathiassen, A Rai","The sustainability of polycentric information commons",2018,"MIS quarterly","JSTOR","https://www.jstor.org/stable/26630248","https://scholar.google.com/scholar?cites=11282237152792342199&as_sdt=2005&sciodt=0,5&hl=en",24,"2024-10-08 11:34:56","","","","",,,,,88,14.67,29,3,6,"Research on various distributed online information systems—including blogging, crowdsourcing, media sharing, online communities, online reviews, open source software development…","https://www.jstor.org/stable/pdf/26630248.pdf","https://scholar.google.com/scholar?q=related:t-7mI-qOkpwJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
29,"ML Jensen, E Yetgin","Prominence and interpretation of online conflict of interest disclosures",2017,"Mis Quarterly","JSTOR","https://www.jstor.org/stable/26629729","https://scholar.google.com/scholar?cites=7082549839670920701&as_sdt=2005&sciodt=0,5&hl=en",13,"2024-10-08 11:34:56","","","","",,,,,29,4.14,15,2,7,"… His interests include computer-aided decision making, knowledge management, human– computer interaction, and computer-mediated communication. He is an active member of an …","https://www.jstor.org/stable/pdf/26629729.pdf","https://scholar.google.com/scholar?q=related:_cWV4Y1FSmIJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
546,"PM Leonardi","Ambient awareness and knowledge acquisition",2015,"MIS quarterly","JSTOR","https://www.jstor.org/stable/26628649","https://scholar.google.com/scholar?cites=8716061983501245858&as_sdt=2005&sciodt=0,5&hl=en",23,"2024-10-08 11:34:56","","","","",,,,,546,60.67,546,1,9,"The argument proffered in this paper is that use of enterprise social networking technologies can increase the accuracy of people’s metaknowledge (knowledge of “who knows what” …","https://www.jstor.org/stable/pdf/26628649.pdf","https://scholar.google.com/scholar?q=related:ot3gvjGs9XgJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
277,"R Beck, I Pahlke, C Seebach","Knowledge exchange and symbolic action in social media-enabled electronic networks of practice",2014,"MIS quarterly","JSTOR","https://www.jstor.org/stable/26627970","https://scholar.google.com/scholar?cites=4336730819302216081&as_sdt=2005&sciodt=0,5&hl=en",12,"2024-10-08 11:34:56","","","","",,,,,277,27.70,92,3,10,"… With respect to knowledge exchange through computer-mediated communication, Makela et al. (2007) empirically demonstrate that interpersonal similarities foster knowledge sharing …","https://www.jstor.org/stable/pdf/26627970.pdf","https://scholar.google.com/scholar?q=related:kVH_ArQpLzwJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
93,"JF George, JR Carlson, JS Valacich","Media selection as a strategic component of communication",2013,"MIS Quarterly","JSTOR","https://www.jstor.org/stable/43825789","https://scholar.google.com/scholar?cites=13859819964695808089&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-10-08 11:34:56","","","","",,,,,93,8.45,31,3,11,"… deception for many decades. A meta-analysis of this research reveals a set of reliable cues to deception… workplace, including deceptive computer-mediated communication, computer-…","https://www.jstor.org/stable/pdf/43825789.pdf","https://scholar.google.com/scholar?q=related:WYiPTtP4V8AJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
352,"B Xiao, I Benbasat","Product-related deception in e-commerce: A theoretical perspective",2011,"Mis Quarterly","JSTOR","https://www.jstor.org/stable/23043494","https://scholar.google.com/scholar?cites=8278955989418422840&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-10-08 11:34:56","","","","",,,,,352,27.08,176,2,13,"… deception cases, we include a new dimension detailing the specific operational-level deception techniques in which the three types of deception … describes how deception works within e…","https://www.jstor.org/stable/pdf/23043494.pdf","https://scholar.google.com/scholar?q=related:OLJgzJvC5HIJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
318,"KS Suh, H Kim, EK Suh","What if your avatar looks like you? Dual-congruity perspectives for avatar use",2011,"MIs Quarterly","JSTOR","https://www.jstor.org/stable/23042805","https://scholar.google.com/scholar?cites=1256095758844797258&as_sdt=2005&sciodt=0,5&hl=en",22,"2024-10-08 11:34:56","","","","",,,,,318,24.46,106,3,13,"As broadband Internet access and virtual reality technology rapidly expand, virtual worlds and three-dimensional avatars will become more pervasive and widely adopted. In virtual …","https://www.jstor.org/stable/pdf/23042805","https://scholar.google.com/scholar?q=related:SqHRBXCMbhEJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
308,"A Abbasi, Z Zhang, D Zimbra, H Chen…","Detecting fake websites: The contribution of statistical learning theory",2010,"Mis Quarterly","JSTOR","https://www.jstor.org/stable/25750686","https://scholar.google.com/scholar?cites=13998660630806738825&as_sdt=2005&sciodt=0,5&hl=en",14,"2024-10-08 11:34:56","","","","",,,,,308,22.00,62,5,14,"Fake websites have become increasingly pervasive, generating billions of dollars in fraudulent revenue at the expense of unsuspecting Internet users. The design and appearance of …","https://www.jstor.org/stable/pdf/25750686.pdf","https://scholar.google.com/scholar?q=related:iTd79qw7RcIJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
499,"R Riedl, M Hubert, P Kenning","Are there neural gender differences in online trust? An fMRI study on the perceived trustworthiness of eBay offers",2010,"MIS quarterly","JSTOR","https://www.jstor.org/stable/20721434","https://scholar.google.com/scholar?cites=7816597550010397226&as_sdt=2005&sciodt=0,5&hl=en",19,"2024-10-08 11:34:56","","","","",,,,,499,35.64,166,3,14,"… , the deliberate evaluation and anticipation of the consequences of an online transaction (both short- and long-term) are crucial in order to avoid losses as a result of deception. …","https://www.jstor.org/stable/pdf/20721434.pdf","https://scholar.google.com/scholar?q=related:KvKOwA4iemwJ:scholar.google.com/&scioq=source:%22mis+quarterly%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
