Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"W Zhang, Y Xu, H Zheng, L Li","Verbal vs. Nonverbal Cues in Static and Dynamic Contexts of Fraud Detection in Crowdsourcing: A Comparative Study",2022,"… of Global Information Management …","igi-global.com","https://www.igi-global.com/article/verbal-vs-nonverbal-cues-in-static-and-dynamic-contexts-of-fraud-detection-in-crowdsourcing/310928","",2,"2024-10-08 13:47:28","","","","",,,,,0,0.00,0,4,2,"… Furthermore, this paper explores and compares the value of four types of information as deception cues in crowdsourcing contexts via data mining technology and machine learning …","https://www.igi-global.com/viewtitle.aspx?titleid=310928","https://scholar.google.com/scholar?q=related:PhxCh8gC2JoJ:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
4,"A Pal, AYK Chua, DHL Goh","Salient beliefs about sharing rumor denials on the Internet",2018,"… on Ubiquitous Information Management …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3164541.3164578","https://scholar.google.com/scholar?cites=14295049723060574054&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-10-08 13:47:28","","10.1145/3164541.3164578","","",,,,,4,0.67,1,3,6,"In the era of social media, rumors spread faster and wider than ever before. After a rumor spreads, its effect can be curbed by issuing online refutation messages known as denials. …","https://dl.acm.org/doi/pdf/10.1145/3164541.3164578","https://scholar.google.com/scholar?q=related:ZleSFfw3YsYJ:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
20,"SM Shariff","A review on credibility perception of online information",2020,"… conference on ubiquitous information management …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9001724/","https://scholar.google.com/scholar?cites=520126215497862821&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-10-08 13:47:28","","","","",,,,,20,5.00,20,1,4,"Credibility generally regards one's belief in the truth due to an initial impression of a subject. Different types of credibility assessment are taken into account by online readers as a …","https://www.researchgate.net/profile/Shafiza-Mohd-Shariff/publication/339433016_A_Review_on_Credibility_Perception_of_Online_Information/links/5f73d417299bf1b53effef54/A-Review-on-Credibility-Perception-of-Online-Information.pdf","https://scholar.google.com/scholar?q=related:pU4eiQncNwcJ:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
77,"S Ansari, S Gupta","Customer perception of the deceptiveness of online product reviews: A speech act theory perspective",2021,"International Journal of Information Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0268401220314857","https://scholar.google.com/scholar?cites=2123900302350588506&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-10-08 13:47:28","","","","",,,,,77,25.67,39,2,3,"… deception detection tools and algorithms are already in place, they cannot counter a customer’s perception of deception … studies in psychology and computer-mediated communication. …","","https://scholar.google.com/scholar?q=related:WprzcxKceR0J:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
113,"P Clarke","Internet as a medium for qualitative research",2000,"South African Journal of Information Management","journals.co.za","https://journals.co.za/doi/abs/10.10520/AJA1560683X_277","https://scholar.google.com/scholar?cites=5671964185880929167&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-10-08 13:47:28","","10.10520/AJA1560683X_277","","",,,,,113,4.71,113,1,24,"… pseudonyms and e-mail aliases that disguise their characteristics and facilitate deception. … suggesting that computer-mediated communication does not neutralize distinctions of gender. …","https://journals.co.za/doi/pdf/10.10520/AJA1560683X_277","https://scholar.google.com/scholar?q=related:j6MrLmDdtk4J:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
101,"S Banerjee, AYK Chua, JJ Kim","Using supervised learning to classify authentic and fake online reviews",2015,"… on ubiquitous information management …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2701126.2701130","https://scholar.google.com/scholar?cites=7692136321218965985&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-10-08 13:47:28","","10.1145/2701126.2701130","","",,,,,101,11.22,34,3,9,"… Despite attempting to conceal, the arousal often leak out in the form of linguistic clues for deception detection [30]. For example, writing fake reviews is considered cognitively …","https://dl.acm.org/doi/pdf/10.1145/2701126.2701130","https://scholar.google.com/scholar?q=related:4fEivjr1v2oJ:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
59,"M Zhou, X Cai, Q Liu, W Fan","Examining continuance use on social network and micro-blogging sites: Different roles of self-image and peer influence",2019,"… Journal of Information Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0268401218306297","https://scholar.google.com/scholar?cites=15451916311080953126&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-10-08 13:47:28","","","","",,,,,59,11.80,15,4,5,"… form of computer-mediated communication (Han et al., 2015, 2016). Prior literature on computer-mediated communication … of the features of computer-mediated communication, such as …","","https://scholar.google.com/scholar?q=related:JmULZQQ8cNYJ:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
4,"M Krishnamurthy, L Ashwath","Social network technology and its implications for libraries: Transforming the library services through the web",2010,"… of Information Management","indianjournals.com","https://www.indianjournals.com/ijor.aspx?target=ijor:sjim&volume=47&issue=3&article=004","https://scholar.google.com/scholar?cites=6172941892682515225&as_sdt=2005&sciodt=0,5&hl=en",12,"2024-10-08 13:47:28","","","","",,,,,4,0.29,2,2,14,"… Such computer mediated communication also allows us to reconnect with friends from the … As a result, one young teen committed suicide from the deception, rejection, and …","","https://scholar.google.com/scholar?q=related:GQN4HPKxqlUJ:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
92,"J Headlam-Wells, J Gosland, J Craig","Beyond the organisation: The design and management of E-mentoring systems",2006,"… Journal of Information Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0268401206000557","https://scholar.google.com/scholar?cites=11241117458176764960&as_sdt=2005&sciodt=0,5&hl=en",13,"2024-10-08 13:47:28","","","","",,,,,92,5.11,31,3,18,"… While the mentor–mentee dyad is central to E-mentoring, computer-mediated communication (CMC) also offers opportunities to establish a community of practice (Allan, 2002; Wenger, …","","https://scholar.google.com/scholar?q=related:IGwRLcV4AJwJ:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
90,"Y Jung, J Park","An investigation of relationships among privacy concerns, affective responses, and coping behaviors in location-based services",2018,"International Journal of Information Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0268401217303754","https://scholar.google.com/scholar?cites=17364838547889456810&as_sdt=2005&sciodt=0,5&hl=en",14,"2024-10-08 13:47:28","","","","",,,,,90,15.00,45,2,6,"Although information privacy has been extensively investigated in the information systems discipline, research heavily focuses on cognitive frameworks and underestimates the …","","https://scholar.google.com/scholar?q=related:qgb2DKhM_PAJ:scholar.google.com/&scioq=source:%22information+management%22+%22computer+mediated+communication%22++%22deception%22&hl=en&as_sdt=0,5&as_vis=1"
