,,URL,
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001149,"Two entrepreneurial firms, a digital disruption, and different responses: the role of organizational mission and experiential computing digital options"
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001150,Lower than expected but still willing to use: User acceptance toward current intelligent conversational agents
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001162,Global perspectives on organizational information systems issues: An enigma in search of a theoretical framework
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001174,Follow the flow: An exploratory multi-case study of value creation in e-commerce ecosystems
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001186,Investigating employees’ occupational risks and benefits resulting from artificial intelligence: An empirical analysis
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001319,Why do players spend money on mobile massively multiplayer online role-playing games? A Wixom and Todd framework
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001198,Identifying the peripheral cues in the credibility assessment of online health information
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001320,Crossing the chasm: Understanding users’ motivational differences based on stages of online community
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001204,Wearable discontinuance: Pathways in the volitional information systems discontinuance process
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001307,Love at first sight: A text analytical study of campaign title impact on crowdfunding success
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001332,Encoding consumer interests into product snippets with a multi-criteria genetic optimization approach
"Volume 61, Issue 8",In progress (December 2024),https://www.sciencedirect.com/science/article/pii/S0378720624001344,An ensemble deep learning model for fast classification of Twitter spam
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624001253,Editorial Board
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624000995,Self-disclosure in online social networks: An empirical study of location-based check-ins and impression management
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624000971,Case-based learning for cybersecurity leaders: A systematic review and research agenda
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624001010,Effects of temporal features and product image zooming in online time scarcity deals: A construal fit account
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624000910,Entrepreneurial emotional bias from mass shootings: Evidence from Kickstarter
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624001125,Successful configurations of technology–organization–environment factors in digital transformation: Evidence from exporting small and medium-sized enterprises in the manufacturing industry
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624001083,Blockchain-driven decentralized identity management: An interdisciplinary review and research agenda
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624001095,A Bayesian deep recommender system for uncertainty-aware online physician recommendation
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624001101,How does supplier integration influence supply chain robustness and resilience? The moderating roles of information technology agility and managerial ties
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624001113,How to find helpful health-related knowledge in the online healthcare community
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624001137,Examining how emotions affect online audience retention: Empirical evidence from livestreaming electronic commerce platforms
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624000636,Formation of professional social networks via physicians’ online engagement: Evidence from Sina Weibo and Sina Health
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624000879,Introduction to the special issue on smart and connected health
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001544,Medical practice in gamified online communities: Longitudinal effects of gamification on doctor engagement
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624000466,Using smart and connected health services to cope with pandemics: The interaction effects of event and coping appraisals
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720623001568,Patient privacy protection: Generating available medical treatment plans based on federated learning and CBR
"Volume 61, Issue 7",24-Nov,https://www.sciencedirect.com/science/article/pii/S0378720624000041,A profile similarity-based personalized federated learning method for wearable sensor-based human activity recognition
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624001058,Editorial Board
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000697,Leveraging digital technology to improve self-efficacy in response to public health crises
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000715,Do cryptocurrency rewards improve platform valuations?
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000788,Enabling digital transformation: Organizational implementation of the internet of things
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000806,Me versus we: How group detachment and social presence shape integration strategies in short-term technology-mediated groups
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000818,Shopping through mobile augmented reality: The impacts of AR embedding and embodiment attributes on consumer-based brand equity
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000831,Pseudo-community trust and member self-disclosure: An empirical study
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000855,Different types of online social exchanges: Effects on online sellers’ sales performance
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000843,How to make recommendations on mobile social e-commerce more effective: The role of social features and temporal cues
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S037872062400082X,Bridge the gap or mind the gap? The role of leader coaching and communication technologies in configurationally dispersed teams
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S037872062400079X,Market value and environmental performance of carbon management systems: An international investigation
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000880,Online consumer demand during and after natural disasters: Evidence from the COVID-19 pandemic
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000867,Understanding collective ownership in agile development: Turbo charging the process
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000892,Are real-time volunteer apps really helping visually impaired people? A social justice perspective
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000909,Community health workers’ continuance of mobile health applications: An extended expectation confirmation model
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000958,Cyberbullying perpetration on social media: A situational action perspective
"Volume 61, Issue 6",24-Sep,https://www.sciencedirect.com/science/article/pii/S0378720624000922,Knowledge-prompted ChatGPT: Enhancing drug trafficking detection on social media
