Title,URL,Volume Issue,Vol Issue Year
Runtime integration of machine learning and simulation for business processes: Time and decision mining predictions,https://www.sciencedirect.com/science/article/pii/S0306437924001303,Volume 128,Feb-25
Modeling higher-order social influence using multi-head graph attention autoencoder,https://www.sciencedirect.com/science/article/pii/S0306437924001327,Volume 128,Feb-25
Exploiting explicit item–item correlations from knowledge graphs for enhanced sequential recommendation,https://www.sciencedirect.com/science/article/pii/S0306437924001285,Volume 128,Feb-25
Emerging industry classification based on BERT model,https://www.sciencedirect.com/science/article/pii/S030643792400142X,Volume 128,Feb-25
Explaining results of path queries on graphs: Single-path results for context-free path queries,https://www.sciencedirect.com/science/article/pii/S0306437924001339,Volume 128,Feb-25
ExamGuard: Smart contracts for secure online test,https://www.sciencedirect.com/science/article/pii/S0306437924001431,Volume 128,Feb-25
Soundness unknotted: An efficient soundness checking algorithm for arbitrary cyclic process models by loosening loops,https://www.sciencedirect.com/science/article/pii/S0306437924001340,Volume 128,Feb-25
The composition diagram of a complex process: Enhancing understanding of hierarchical business processes,https://www.sciencedirect.com/science/article/pii/S0306437924001479,Volume 128,Feb-25
A generative and discriminative model for diversity-promoting recommendation,https://www.sciencedirect.com/science/article/pii/S0306437924001467,Volume 128,Feb-25
Two-level massive string dictionaries,https://www.sciencedirect.com/science/article/pii/S0306437924001480,Volume 128,Feb-25
STracker: A framework for identifying sentiment changes in customer feedbacks,https://www.sciencedirect.com/science/article/pii/S0306437924001492,Volume 128,Feb-25
Hands-on analysis of using large language models for the auto evaluation of programming assignments,https://www.sciencedirect.com/science/article/pii/S0306437924001315,Volume 128,Feb-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S030643792400139X,Volume 127,Jan-25
A universal approach for simplified redundancy-aware cross-model querying,https://www.sciencedirect.com/science/article/pii/S0306437924001145,Volume 127,Jan-25
Electricity behaviors anomaly detection based on multi-feature fusion and contrastive learning,https://www.sciencedirect.com/science/article/pii/S0306437924001157,Volume 127,Jan-25
Tri-AL: An open source platform for visualization and analysis of clinical trials,https://www.sciencedirect.com/science/article/pii/S0306437924001170,Volume 127,Jan-25
Data Lakehouse: A survey and experimental study,https://www.sciencedirect.com/science/article/pii/S0306437924001182,Volume 127,Jan-25
Using AI explainable models and handwriting/drawing tasks for psychological well-being,https://www.sciencedirect.com/science/article/pii/S0306437924001236,Volume 127,Jan-25
Influence maximization based on discrete particle swarm optimization on multilayer network,https://www.sciencedirect.com/science/article/pii/S0306437924001248,Volume 127,Jan-25
A framework for measuring the quality of business process simulation models,https://www.sciencedirect.com/science/article/pii/S0306437924001054,Volume 127,Jan-25
Bridging reading and mapping: The role of reading annotations in facilitating feedback while concept mapping,https://www.sciencedirect.com/science/article/pii/S0306437924001169,Volume 127,Jan-25
Making cyber-human systems smarter,https://www.sciencedirect.com/science/article/pii/S0306437924000863,Volume 127,Jan-25
Special Issue of CAiSE 2023 Best Papers,https://www.sciencedirect.com/science/article/pii/S0306437924001273,Volume 127,Jan-25
Temporal graph processing in modern memory hierarchies,https://www.sciencedirect.com/science/article/pii/S0306437924001200,Volume 127,Jan-25
Effective data exploration through clustering of local attributive explanations,https://www.sciencedirect.com/science/article/pii/S0306437924001224,Volume 127,Jan-25
Finding meaningful paths in heterogeneous graphs with PathWays,https://www.sciencedirect.com/science/article/pii/S0306437924001212,Volume 127,Jan-25
Proactive conformance checking: An approach for predicting deviations in business processes,https://www.sciencedirect.com/science/article/pii/S0306437924001194,Volume 127,Jan-25
Business process simulation: Probabilistic modeling of intermittent resource availability and multitasking behavior,https://www.sciencedirect.com/science/article/pii/S0306437924001297,Volume 127,Jan-25
Advances on data management systems,https://www.sciencedirect.com/science/article/pii/S030643792400125X,Volume 127,Jan-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924001091,Volume 126,Dec-24
Bot log mining: An approach to the integrated analysis of Robotic Process Automation and process mining,https://www.sciencedirect.com/science/article/pii/S0306437924000899,Volume 126,Dec-24
An incremental algorithm for repairing denial constraint violations,https://www.sciencedirect.com/science/article/pii/S0306437924000930,Volume 126,Dec-24
Unveiling the causes of waiting time in business processes from event logs,https://www.sciencedirect.com/science/article/pii/S0306437924000929,Volume 126,Dec-24
PathEL: A novel collective entity linking method based on relationship paths in heterogeneous information networks,https://www.sciencedirect.com/science/article/pii/S0306437924000917,Volume 126,Dec-24
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924000978,Volume 125,Nov-24
Heart failure prognosis prediction: Let’s start with the MDL-HFP model,https://www.sciencedirect.com/science/article/pii/S0306437924000668,Volume 125,Nov-24
Enhancing Entity Resolution with a hybrid Active Machine Learning framework: Strategies for optimal learning in sparse datasets,https://www.sciencedirect.com/science/article/pii/S0306437924000681,Volume 125,Nov-24
Storage Management with Multi-Version Partitioned BTrees,https://www.sciencedirect.com/science/article/pii/S0306437924000619,Volume 125,Nov-24
FDM: Effective and efficient incident detection on sparse trajectory data,https://www.sciencedirect.com/science/article/pii/S0306437924000760,Volume 125,Nov-24
Detecting the adversarially-learned injection attacks via knowledge graphs,https://www.sciencedirect.com/science/article/pii/S0306437924000772,Volume 125,Nov-24
Analyzing workload trends for boosting triple stores performance,https://www.sciencedirect.com/science/article/pii/S0306437924000784,Volume 125,Nov-24
SFTe: Temporal knowledge graphs embedding for future interaction prediction,https://www.sciencedirect.com/science/article/pii/S0306437924000814,Volume 125,Nov-24
An efficient approach for discovering Graph Entity Dependencies (GEDs),https://www.sciencedirect.com/science/article/pii/S0306437924000796,Volume 125,Nov-24
DOML: A new modeling approach to Infrastructure-as-Code,https://www.sciencedirect.com/science/article/pii/S0306437924000802,Volume 125,Nov-24
Stream-aware indexing for distributed inequality join processing,https://www.sciencedirect.com/science/article/pii/S0306437924000838,Volume 125,Nov-24
On the cognitive and behavioral effects of abstraction and fragmentation in modularized process models,https://www.sciencedirect.com/science/article/pii/S0306437924000826,Volume 125,Nov-24
Enhancing transparency in public procurement: A data-driven analytics approach,https://www.sciencedirect.com/science/article/pii/S0306437924000887,Volume 125,Nov-24
LS-ICE: A Load State Intercase Encoding framework for improved predictive monitoring of business processes,https://www.sciencedirect.com/science/article/pii/S0306437924000905,Volume 125,Nov-24
Contrastive learning enhanced by graph neural networks for Universal Multivariate Time Series Representation,https://www.sciencedirect.com/science/article/pii/S0306437924000875,Volume 125,Nov-24
Compressing generalized trajectories of molecular motion for efficient detection of chemical interactions,https://www.sciencedirect.com/science/article/pii/S030643792400084X,Volume 125,Nov-24
TRGST: An enhanced generalized suffix tree for topological relations between paths,https://www.sciencedirect.com/science/article/pii/S0306437924000644,Volume 125,Nov-24
"A survey of sequential recommendation systems: Techniques, evaluation, and future directions",https://www.sciencedirect.com/science/article/pii/S0306437924000851,Volume 125,Nov-24
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924000723,Volume 124,Sep-24
Read-safe snapshots: An abort/wait-free serializable read method for read-only transactions on mixed OLTP/OLAP workloads,https://www.sciencedirect.com/science/article/pii/S0306437924000437,Volume 124,Sep-24
TransLSTD: Augmenting hierarchical disease risk prediction model with time and context awareness via disease clustering,https://www.sciencedirect.com/science/article/pii/S0306437924000486,Volume 124,Sep-24
GAMA: A multi-graph-based anomaly detection framework for business processes via graph neural networks,https://www.sciencedirect.com/science/article/pii/S0306437924000632,Volume 124,Sep-24
Enhancing cross-market recommendations by addressing negative transfer and leveraging item co-occurrences,https://www.sciencedirect.com/science/article/pii/S0306437924000462,Volume 124,Sep-24
Responsible composition and optimization of integration processes under correctness preserving guarantees,https://www.sciencedirect.com/science/article/pii/S0306437924000589,Volume 124,Sep-24
BF-BigGraph: An efficient subgraph isomorphism approach using machine learning for big graph databases,https://www.sciencedirect.com/science/article/pii/S0306437924000590,Volume 124,Sep-24
Learning complex predicates for cardinality estimation using recursive neural networks,https://www.sciencedirect.com/science/article/pii/S0306437924000607,Volume 124,Sep-24
MBDL: Exploring dynamic dependency among various types of behaviors for recommendation,https://www.sciencedirect.com/science/article/pii/S0306437924000656,Volume 124,Sep-24
HUM-CARD: A human crowded annotated real dataset,https://www.sciencedirect.com/science/article/pii/S030643792400067X,Volume 124,Sep-24
"Process-related user interaction logs: State of the art, reference model, and object-centric implementation",https://www.sciencedirect.com/science/article/pii/S0306437924000449,Volume 124,Sep-24
Enjoy the silence: Analysis of stochastic Petri nets with silent transitions,https://www.sciencedirect.com/science/article/pii/S0306437924000413,Volume 124,Sep-24
A chance for models to show their quality: Stochastic process model-log dimensions,https://www.sciencedirect.com/science/article/pii/S0306437924000401,Volume 124,Sep-24
Special Issue with Best Papers from ICPM 2022,https://www.sciencedirect.com/science/article/pii/S0306437924000474,Volume 124,Sep-24
Recognizing task-level events from user interaction data,https://www.sciencedirect.com/science/article/pii/S0306437924000620,Volume 124,Sep-24
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924000528,Volume 123,Jul-24
"An inter-modal attention-based deep learning framework using unified modality for multimodal fake news, hate speech and offensive language detection",https://www.sciencedirect.com/science/article/pii/S030643792400036X,Volume 123,Jul-24
A graph neural network with topic relation heterogeneous multi-level cross-item information for session-based recommendation,https://www.sciencedirect.com/science/article/pii/S0306437924000383,Volume 123,Jul-24
The rise of nonnegative matrix factorization: Algorithms and applications,https://www.sciencedirect.com/science/article/pii/S0306437924000371,Volume 123,Jul-24
Blockchain technology for requirement traceability in systems engineering,https://www.sciencedirect.com/science/article/pii/S0306437924000425,Volume 123,Jul-24
"Cube query interestingness: Novelty, relevance, peculiarity and surprise",https://www.sciencedirect.com/science/article/pii/S0306437924000395,Volume 123,Jul-24
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924000310,Volume 122,May-24
"Process Query Language: Design, Implementation, and Evaluation",https://www.sciencedirect.com/science/article/pii/S0306437923001734,Volume 122,May-24
Secure multi-dimensional data retrieval with access control and range query in the cloud,https://www.sciencedirect.com/science/article/pii/S0306437924000012,Volume 122,May-24
Enterprise sellers’ satisfaction with business-to-business cross-border e-commerce platforms: Alibaba.com as an example,https://www.sciencedirect.com/science/article/pii/S0306437924000061,Volume 122,May-24
Model repair supported by frequent anomalous local instance graphs,https://www.sciencedirect.com/science/article/pii/S0306437924000073,Volume 122,May-24
An improved context-aware weighted matrix factorization algorithm for point of interest recommendation in LBSN,https://www.sciencedirect.com/science/article/pii/S0306437924000243,Volume 122,May-24
ArZiGo: A recommendation system for scientific articles,https://www.sciencedirect.com/science/article/pii/S0306437924000255,Volume 122,May-24
SuperGuardian: Superspreader removal for cardinality estimation in data streaming,https://www.sciencedirect.com/science/article/pii/S0306437924000097,Volume 122,May-24
A survey for managing temporal data in RDF,https://www.sciencedirect.com/science/article/pii/S0306437924000267,Volume 122,May-24
Filtering with relational similarity,https://www.sciencedirect.com/science/article/pii/S0306437924000036,Volume 122,May-24
