Title,Year,Issue,ArticleURL
A Knowledge Management Perspective of Generative Artificial Intelligence,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/15
The Societal Impacts of Generative Artificial Intelligence: A Balanced Perspective,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/14
Navigating Generative Artificial Intelligence Promises and Perils for Knowledge and Creative Work,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/13
"AI for Knowledge Creation, Curation, and Consumption in Context",2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/12
Responsible Artificial Intelligence and Journal Publishing,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/11
Reimagining the Journal Editorial Process: An AI-Augmented Versus an AI-Driven Future,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/10
Peer Review in the Age of Generative AI,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/9
The Other Reviewer: RoboReviewer,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/8
"Human-in-the-Loop AI Reviewing: Feasibility, Opportunities, and Risks",2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/7
New Frontiers in Information Systems Theorizing: Human-gAI Collaboration,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/6
Should We Collaborate with AI to Conduct Literature Reviews? Changing Epistemic Values in a Flattening World,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/5
Evolving Epistemic Infrastructure: The Role of Scientific Journals in the Age of Generative AI,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/4
Extending the Foresight of Phillip Ein-Dor: Causal Knowledge Analytics,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/3
Democratizing Knowledge Creation Through Human-AI Collaboration in Academic Peer Review,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/2
Digital Transformation of Academic Publishing: A Call for the Decentralization and Democratization of Academic Journals,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/1
From Methodological Symmetry to Gaia: Latour’s Legacy and Untapped Potential for IS Research,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/10
How Online Consumers Use Multiple Advice Sources: An Empirical Exploration Using Verbal Protocol Analysis,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/9
Optimal Launch Timing of Bug Bounty Programs for Software Products under Different Licensing Models,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/8
Nonverbal Peer Feedback and User Contribution in Online Forums: Experimental Evidence of the Role of Attribution and Emotions,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/7
Qualitative Cusp Catastrophe Multi-Agent Simulation Model to Explore Abrupt Changes in Online Impulsive Buying Behavior,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/6
Content and Style of Firm-Generated Posts on Social Media: A Study of User Engagement on Hedonic and Utilitarian Product Pages on Facebook,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/5
Proposing Shocks and Dissatisfaction to Explain Quitting and Switching a Service: An Image Theory Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/4
"Research Perspectives: An Encompassing Framework for Conceptualizing Space in Information Systems: Philosophical Perspectives, Themes, and Concepts",2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/3
Firm Competitive Structure and Consumer Reaction in Search Advertisings,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/2
Judging the Wrongness of Firms in Social Media Firestorms: The Heuristic and Systematic Information Processing Perspective,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/1
About Theory and Theorizing,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/11
Organizational Identity Management Policies,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/10
“My Name is Alexa. What’s Your Name?” The Impact of Reciprocal Self-Disclosure on Post-Interaction Trust in Conversational Agents,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/9
Digital Institutionalization: The Case of E-Prescribing,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/8
The Contingent Effects of IS Certifications on the Trustworthiness of Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/7
The Effects of Featuring Product Sampling Reviews on E-Tailer Websites,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/6
The Impact of Feature Exploitation and Exploration on Mobile Application Evolution and Success,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/5
Don’t Take It Personally: An Empirical Investigation of Consumer Responses to Explicit Targeting,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/4
The Role of Online and Geographically Distant Social Networks in Political Decision-Making: Empirical Evidence from the 2016 United States Presidential Election,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/3
Mechanisms for Achieving Ambidexterity in the Context of Digital Transformation: Insights from Digital Innovation Labs,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/2
Creating Collaboration: How Social Movement Organizations Shape Digital Activism to Promote Broader Social Change,2024,Issue 3,https://aisel.aisnet.org/jais/vol25/iss3/1
Feedback Loops in Machine Learning: A Study on the Interplay of Continuous Updating and Human Discrimination,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/9
Power as “Present-in-Actions” in Mundane Information Systems Work,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/8
The Influence of Political Skill and Community Capabilities on Microtask Worker Hourly Wage: A Mixed Methods Study of Mechanical Turk,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/7
Human-Centered Design and Evaluation of a NeuroIS Tool for Flow Support,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/6
Effective Intervention in User Adaptation: A 2×2 Coping Framework Entailing Implementation and Contextual Factors,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/5
Understanding the Role of Lead Organizational Donor Types in Civic Crowdfunding,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/4
Roles of Feedback and Phishing Characteristics in Antiphishing Training Performance: Perspectives of Goal Setting and Skill Acquisition,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/3
An Empirical Investigation of The Unintended Consequences of Vulnerability Assessments Leading to Betrayal,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/2
Consumers’ Opinion Orientations and Their Credit Risk: An Econometric Analysis Enhanced by Multimodal Analytics,2024,Issue 4,https://aisel.aisnet.org/jais/vol25/iss4/1
"Charting the Waters Ahead: Moby, Dick, and Jane",2024,Issue 5,https://aisel.aisnet.org/jais/vol25/iss5/10
Toward an Understanding of Gig Work Risks and Worker Agency on Different Digital Labor Platforms,2024,Issue 5,https://aisel.aisnet.org/jais/vol25/iss5/9
Unraveling Grievance Formation in Online Movement Research: Insights from the Amnesty International Sex Worker Policy Protest,2024,Issue 5,https://aisel.aisnet.org/jais/vol25/iss5/8
Inverse Transparency and the Quest for Empowerment through the Design of Digital Workplace Technologies,2024,Issue 5,https://aisel.aisnet.org/jais/vol25/iss5/7
