Title,URL,Volume Issue,Vol Issue Year
Responsible artificial intelligence governance: A review and research framework,https://www.sciencedirect.com/science/article/pii/S0963868724000672,"Volume 34, Issue 2",June 2025
The complementary and substitutional effects of forced and emergent mechanisms in multisourcing,https://www.sciencedirect.com/science/article/pii/S0963868724000519,"Volume 34, Issue 1",March 2025
A socio-cognitive perspective of knowledge integration in digital innovation networks,https://www.sciencedirect.com/science/article/pii/S0963868724000532,"Volume 34, Issue 1",March 2025
A process model for design-oriented machine learning research in information systems,https://www.sciencedirect.com/science/article/pii/S0963868724000507,"Volume 34, Issue 1",March 2025
A knowledge-centric model for government-orchestrated digital transformation among the microbusiness sector,https://www.sciencedirect.com/science/article/pii/S0963868724000520,"Volume 34, Issue 1",March 2025
Do CEOs matter? Divergent impact of CEO power on digital and non-digital innovation,https://www.sciencedirect.com/science/article/pii/S096386872400057X,"Volume 34, Issue 1",March 2025
Unboxing maturity models: A set-theoretic perspective on e-Government configurations over time,https://www.sciencedirect.com/science/article/pii/S0963868724000568,"Volume 34, Issue 1",March 2025
Sustaining IT outsourcing performance during a systemic crisis: A configurational approach,https://www.sciencedirect.com/science/article/pii/S0963868724000544,"Volume 34, Issue 1",March 2025
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0963868724000611,"Volume 33, Issue 4",December 2024
Welcome to the fourth issue of volume 33 of the Journal of Strategic Information Systems,https://www.sciencedirect.com/science/article/pii/S0963868724000490,"Volume 33, Issue 4",December 2024
Is AI a strategic IS? Reflections and opportunities for research,https://www.sciencedirect.com/science/article/pii/S0963868724000489,"Volume 33, Issue 4",December 2024
The whole of cyber defense: Syncing practice and theory,https://www.sciencedirect.com/science/article/pii/S096386872400043X,"Volume 33, Issue 4",December 2024
Four roles of physicality in digital innovation: A theoretical review,https://www.sciencedirect.com/science/article/pii/S0963868724000441,"Volume 33, Issue 4",December 2024
Digital transformation in disaster management: A literature review,https://www.sciencedirect.com/science/article/pii/S0963868724000477,"Volume 33, Issue 4",December 2024
"Harnessing the Potential of Artificial Intelligence: Affordances, Constraints, and Strategic Implications for Professional Services",https://www.sciencedirect.com/science/article/pii/S0963868724000465,"Volume 33, Issue 4",December 2024
Time to reassess data value: The many faces of data in organizations,https://www.sciencedirect.com/science/article/pii/S0963868724000453,"Volume 33, Issue 4",December 2024
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0963868724000398,"Volume 33, Issue 3",September 2024
Welcome to the third issue of Volume 33 of the Journal of Strategic Information Systems,https://www.sciencedirect.com/science/article/pii/S0963868724000349,"Volume 33, Issue 3",September 2024
Digital transformation of the public sector: Designing strategic information systems,https://www.sciencedirect.com/science/article/pii/S0963868724000350,"Volume 33, Issue 3",September 2024
Fusing domain knowledge with machine learning: A public sector perspective,https://www.sciencedirect.com/science/article/pii/S0963868724000301,"Volume 33, Issue 3",September 2024
Open data platforms: Design principles for embracing outlaw innovators,https://www.sciencedirect.com/science/article/pii/S0963868724000325,"Volume 33, Issue 3",September 2024
