Title,Issue_Title,Issue_URL
"Volume 39 Issue 4, December 2024",Digital transformation: The geopolitical-organizational nexus,https://journals.sagepub.com/doi/abs/10.1177/02683962241299822
"Volume 39 Issue 4, December 2024",Achieving stakeholder alignment in digital transformation: A frame transformation perspective,https://journals.sagepub.com/doi/abs/10.1177/02683962231219518
"Volume 39 Issue 4, December 2024",Empowering digital transformation: The roles of platforms,https://journals.sagepub.com/doi/abs/10.1177/02683962231219520
"Volume 39 Issue 4, December 2024",Proactive digital workplace transformation: Unpacking identity change mechanisms in remote-first organisations,https://journals.sagepub.com/doi/abs/10.1177/02683962231219516
"Volume 39 Issue 4, December 2024",Digitalization and network capability as enablers of business model innovation and sustainability performance: The moderating effect of environmental dynamism,https://journals.sagepub.com/doi/abs/10.1177/02683962231219513
"Volume 39 Issue 4, December 2024",Towards a context-sensitive conceptualisation of digital transformation,https://journals.sagepub.com/doi/abs/10.1177/02683962231219514
"Volume 39 Issue 4, December 2024",Non-profit organisations in the digital age: A research agenda for supporting the development of a digital transformation strategy,https://journals.sagepub.com/doi/abs/10.1177/02683962231219515
"Volume 39 Issue 4, December 2024",Disruptive change within financial technology: A methodological analysis of digital transformation challenges,https://journals.sagepub.com/doi/abs/10.1177/02683962231219512
"Volume 39 Issue 3, September 2024",Ethical issues and unintended consequences of digitalization and platformization,https://journals.sagepub.com/doi/abs/10.1177/02683962241282515
"Volume 39 Issue 3, September 2024",Unveiling the formation of conspiracy theory on social media: A discourse analysis,https://journals.sagepub.com/doi/abs/10.1177/02683962231175923
"Volume 39 Issue 3, September 2024",The influence of social norms on expressing sympathy in social media,https://journals.sagepub.com/doi/abs/10.1177/02683962231171401
"Volume 39 Issue 3, September 2024","Unethical but not illegal! A critical look at two-sided disinformation platforms: Justifications, critique, and a way forward",https://journals.sagepub.com/doi/abs/10.1177/02683962231181145
"Volume 39 Issue 3, September 2024",Not seeing the (moral) forest for the trees? How task complexity and employees’ expertise affect moral disengagement with discriminatory data analytics recommendations,https://journals.sagepub.com/doi/abs/10.1177/02683962231181148
"Volume 39 Issue 3, September 2024",Reforming work patterns or negotiating workloads? Exploring alternative pathways for digital productivity assistants through a problematization lens,https://journals.sagepub.com/doi/abs/10.1177/02683962231181602
"Volume 39 Issue 3, September 2024",The technology-behavioral compensation effect: Unintended consequences of health technology adoption,https://journals.sagepub.com/doi/abs/10.1177/02683962231183979
"Volume 39 Issue 3, September 2024","The connected workplace: Characteristics and social consequences of work surveillance in the age of datification, sensorization, and artificial intelligence",https://journals.sagepub.com/doi/abs/10.1177/02683962231202535
"Volume 39 Issue 3, September 2024","Digital platforms, surveillance and processes of demoralization",https://journals.sagepub.com/doi/abs/10.1177/02683962231208215
"Volume 39 Issue 3, September 2024",Understanding responsibility under uncertainty: A critical and scoping review of autonomous driving systems,https://journals.sagepub.com/doi/abs/10.1177/02683962231207108
